2021-02-05-01,3.0606,3.85,3.0524,3.7395,1905686.78
2021-02-05-02,3.7395,3.7459,3.251,3.2989,1438532.97
2021-02-05-03,3.2848,3.39,3.2,3.3867,558524.26
2021-02-05-04,3.3721,3.5331,3.2495,3.319,763538.43
2021-02-05-05,3.3041,3.491,3.2,3.315,562804.4
2021-02-05-06,3.315,3.4636,3.3101,3.3226,449714.5
2021-02-05-07,3.3211,3.4,3.21,3.3229,644955.52
2021-02-05-08,3.3231,3.3299,3.2402,3.26,284331.58
2021-02-05-09,3.263,3.3407,3.2401,3.301,347617.42
2021-02-05-10,3.3015,3.4975,3.265,3.3943,671606.3
2021-02-05-11,3.3943,3.42,3.2859,3.3124,421469.87
2021-02-05-12,3.3075,3.3728,3.285,3.3221,446157.03
2021-02-05-13,3.3221,3.4069,3.3008,3.3406,374039.41
2021-02-05-14,3.3398,3.3501,3.2533,3.29,344045.96
2021-02-05-15,3.2901,3.3,3.21,3.2619,354201.85
2021-02-05-16,3.2616,3.31,3.225,3.242,341983.25
2021-02-05-17,3.2421,3.4433,3.242,3.3404,624048.58
2021-02-05-18,3.3407,3.8,3.3201,3.63,997722.74
2021-02-05-19,3.6339,3.9092,3.6266,3.6333,755867.8
2021-02-05-20,3.6334,3.801,3.5,3.7542,308090.95
2021-02-05-21,3.7538,3.9,3.6206,3.849,298116.46
2021-02-05-22,3.8489,4.4785,3.845,4.23,1936267.38
2021-02-05-23,4.23,4.5517,4.1,4.366,1116300.29
2021-02-06-00,4.3507,5.9362,4.35,5.4999,4743580.31
2021-02-06-01,5.5,5.5572,4.688,4.8015,3212303.08
2021-02-06-02,4.805,4.8664,4.1103,4.3759,1827522.15
2021-02-06-03,4.376,5.2596,4.3756,4.8051,1781389.19
2021-02-06-04,4.8231,5.14,4.6,4.73,708805.93
2021-02-06-05,4.7215,4.8,4.446,4.5328,572733.0
2021-02-06-06,4.5311,4.8897,4.3889,4.7057,472670.36
2021-02-06-07,4.7057,5.36,4.6255,4.9419,1571925.18
2021-02-06-08,4.9419,5.2,4.85,5.0999,997531.68
2021-02-06-09,5.1,5.1845,4.9,4.944,593022.0
2021-02-06-10,4.9306,5.54,4.82,5.21,1487004.43
2021-02-06-11,5.2169,5.8249,5.1104,5.684,1811979.28
2021-02-06-12,5.6867,7.0889,5.6771,6.5701,6166765.47
