2021-03-29-01,7.46e-06,7.96e-06,7.46e-06,7.87e-06,99010.60581303
2021-03-29-02,7.93e-06,7.93e-06,7.46e-06,7.59e-06,83924.63353795
2021-03-29-03,7.58e-06,7.79e-06,7.5e-06,7.71e-06,87176.65592784
2021-03-29-04,7.78e-06,7.95e-06,7.66e-06,7.77e-06,25179.3231583
2021-03-29-05,7.77e-06,7.85e-06,7.66e-06,7.67e-06,19424.66539339
2021-03-29-06,7.67e-06,7.86e-06,7.61e-06,7.61e-06,85154.17754906
2021-03-29-07,7.61e-06,7.71e-06,7.55e-06,7.69e-06,26697.27792848
2021-03-29-08,7.73e-06,7.73e-06,7.51e-06,7.61e-06,28391.70886216
2021-03-29-09,7.52e-06,7.67e-06,7.51e-06,7.51e-06,19100.75040397
2021-03-29-10,7.51e-06,7.59e-06,7.46e-06,7.47e-06,25463.30480074
2021-03-29-11,7.47e-06,7.69e-06,7.47e-06,7.47e-06,54096.78706224
2021-03-29-12,7.47e-06,7.67e-06,7.37e-06,7.51e-06,59726.53189018
2021-03-29-13,7.5e-06,7.53e-06,7.35e-06,7.43e-06,122886.12111208
2021-03-29-14,7.45e-06,7.64e-06,7.34e-06,7.64e-06,78294.02609866
2021-03-29-15,7.64e-06,7.65e-06,7.4e-06,7.64e-06,41987.66272231
2021-03-29-16,7.64e-06,7.64e-06,7.4e-06,7.44e-06,42177.53442878
2021-03-29-17,7.46e-06,7.67e-06,7.42e-06,7.6e-06,16254.71129853
2021-03-29-18,7.6e-06,7.65e-06,7.46e-06,7.47e-06,27879.70380382
2021-03-29-19,7.54e-06,7.56e-06,7.25e-06,7.25e-06,70381.93012766
2021-03-29-20,7.3e-06,7.41e-06,6.98e-06,7.35e-06,100860.43923801
2021-03-29-21,7.25e-06,7.39e-06,7.18e-06,7.2e-06,25892.65495992
2021-03-29-22,7.26e-06,7.36e-06,7.09e-06,7.25e-06,70400.08944614
2021-03-29-23,7.25e-06,7.27e-06,7.09e-06,7.09e-06,73997.4957869
2021-03-30-00,7.09e-06,7.14e-06,6.98e-06,7.1e-06,49012.58334294
2021-03-30-01,7.1e-06,7.13e-06,6.75e-06,7.02e-06,151936.08633992
2021-03-30-02,7.08e-06,7.21e-06,7.01e-06,7.15e-06,75652.90246964
2021-03-30-03,7.15e-06,7.35e-06,7.04e-06,7.23e-06,80677.86929586
2021-03-30-04,7.24e-06,7.34e-06,7.1e-06,7.17e-06,92287.36834287
2021-03-30-05,7.11e-06,7.25e-06,7.1e-06,7.18e-06,21247.62913642
2021-03-30-06,7.11e-06,7.19e-06,7.01e-06,7.03e-06,58558.40394376
2021-03-30-07,7.03e-06,7.13e-06,6.85e-06,7.1e-06,120806.21225708
2021-03-30-08,7.1e-06,7.25e-06,7.06e-06,7.21e-06,54142.57584975
2021-03-30-09,7.21e-06,7.22e-06,7e-06,7.01e-06,88480.92853653
2021-03-30-10,7.01e-06,7.15e-06,6.96e-06,7.07e-06,77779.09328727
2021-03-30-11,7.14e-06,7.15e-06,6.96e-06,7.02e-06,45635.73632807
2021-03-30-12,7.01e-06,7.08e-06,6.91e-06,7.01e-06,91201.59965794
